x,y,z,yaw,velocity,change_flag
-0.4361,13.7550,0.6125,2.3037,1.0381,0
-0.5053,13.7873,0.5820,2.3039,1.9641,0
-0.5446,13.8553,0.6036,2.3078,1.5340,0
-0.5847,13.8904,0.6143,2.3088,0.7907,0
-0.6381,13.9303,0.5899,2.3116,1.1149,0
-0.7159,13.9927,0.6045,2.3036,2.2883,0
-0.7413,14.0444,0.6483,2.3073,2.4816,0
-0.8179,14.1120,0.6406,2.3108,2.6649,0
-0.8548,14.1495,0.6052,2.3085,1.5087,0
-0.8956,14.2200,0.6154,2.3085,1.1611,0
-0.9235,14.2617,0.6118,2.3102,inf,0
-0.9853,14.2910,0.6185,2.3144,1.4228,0
-1.0716,14.3371,0.6048,2.3110,2.2133,0
-1.1156,14.3921,0.6300,2.3089,1.7863,0
-1.1591,14.4340,0.6191,2.3057,1.0724,0
-1.1850,14.4915,0.6278,2.3048,1.1911,0
-1.2474,14.5210,0.6492,2.3035,0.9360,0
-1.3111,14.5780,0.6207,2.3030,1.6494,0
-1.3470,14.6172,0.6445,2.3030,1.9751,0
-1.3894,14.6720,0.6377,2.3050,1.2857,0
-1.4294,14.7098,0.6475,2.3092,0.7628,0
-1.4650,14.7510,0.6468,2.3076,1.1058,0
-1.5118,14.7725,0.6452,2.3018,1.6850,0
-1.5457,14.8305,0.6669,2.2789,1.5196,0
-1.5914,14.8626,0.6474,2.2598,1.7526,0
-1.6245,14.9118,0.6490,2.2452,0.5686,0
-1.6758,14.9481,0.6621,2.2511,1.2060,0
-1.7267,15.0173,0.6486,2.2540,1.7339,0
-1.7680,15.0681,0.6377,2.2602,1.0242,0
-1.8393,15.1245,0.6543,2.2555,1.6200,0
-1.8576,15.1734,0.6371,2.2549,1.8892,0
-1.9163,15.2143,0.6498,2.2568,1.9130,0
-1.9843,15.2802,0.7095,2.2525,2.2346,0
-2.0280,15.3445,0.6938,2.2467,1.2818,0
-2.0668,15.3938,0.7046,2.2451,2.1865,0
-2.1214,15.4419,0.6872,2.2449,1.7691,0
-2.2013,15.4983,0.6812,2.2485,1.7720,0
-2.2194,15.5531,0.7125,2.2525,1.7792,0
-2.2967,15.5941,0.6683,2.2528,1.8806,0
-2.3382,15.6463,0.7032,2.2536,0.9228,0
-2.3770,15.7006,0.7012,2.2448,1.3802,0
-2.4157,15.7450,0.7218,2.2433,1.6307,0
-2.4692,15.7987,0.7341,2.2418,1.9988,0
-2.5003,15.8728,0.7057,2.2458,1.3133,0
-2.5735,15.9048,0.7101,2.2449,1.3433,0
-2.6070,15.9734,0.7170,2.2489,1.3664,0
-2.6500,16.0021,0.7457,2.2519,1.0018,0
-2.6867,16.0520,0.7251,2.2462,1.3807,0
-2.7178,16.0932,0.7579,2.2448,2.0987,0
-2.7660,16.1521,0.7292,2.2402,2.4174,0
-2.8259,16.1796,0.7386,2.2426,0.9035,0
-2.8682,16.2115,0.7564,2.2422,1.9201,0
-2.8910,16.2577,0.7659,2.2421,1.6641,0
-2.9358,16.3269,0.7601,2.2402,1.7088,0
-2.9468,16.3759,0.7745,2.2392,1.7928,0
-3.0283,16.4236,0.7512,2.2496,1.9334,0
-3.0754,16.4665,0.7485,2.2447,1.5714,0
-3.1358,16.5258,0.7847,2.2421,1.7261,0
-3.1959,16.5994,0.7699,2.2348,2.4882,0
-3.2141,16.6508,0.7965,2.2335,1.4291,0
-3.2608,16.6733,0.7738,2.2344,1.9418,0
-3.2761,16.7338,0.7554,2.2407,1.4811,0
-3.3482,16.7686,0.7994,2.2356,1.6345,0
-3.4046,16.8435,0.8006,2.2428,1.9768,0
-3.4549,16.8992,0.7871,2.2414,1.4884,0
-3.4851,16.9503,0.7910,2.2350,1.8166,0
-3.5387,16.9995,0.7885,2.2305,1.1220,0
-3.5786,17.0385,0.8005,2.2309,1.0601,0
-3.6228,17.0719,0.8002,2.2313,1.9032,0
-3.6672,17.1254,0.7998,2.2342,1.0155,0
-3.7182,17.1787,0.7937,2.2358,1.1152,0
-3.7654,17.2563,0.8155,2.2348,1.8299,0
-3.8158,17.3109,0.8121,2.2358,1.0637,0
-3.8685,17.3679,0.8305,2.2346,1.5131,0
-3.9237,17.3905,0.8233,2.2339,2.0626,0
-3.9450,17.4603,0.8133,2.2284,1.5029,0
-3.9806,17.4997,0.8525,2.2277,2.2655,0
-4.0270,17.5488,0.7936,2.2287,1.6815,0
-4.0684,17.5880,0.8264,2.2301,2.2584,0
-4.1175,17.6220,0.8595,2.2340,1.2164,0
-4.1502,17.6685,0.8444,2.2273,0.7600,0
-4.1967,17.7216,0.8597,2.2327,1.2280,0
-4.2364,17.7762,0.8458,2.2342,1.1335,0
-4.2753,17.8322,0.8697,2.2328,1.5203,0
-4.3150,17.8688,0.8491,2.2307,inf,0
-4.3580,17.9116,0.8526,2.2229,1.2046,0
-4.4045,17.9356,0.8849,2.2263,1.7990,0
-4.4433,17.9707,0.8500,2.2280,1.9396,0
-4.4789,18.0320,0.8657,2.2254,2.4938,0
-4.5101,18.0882,0.9050,2.2275,0.7613,0
-4.5586,18.1019,0.8522,2.2261,1.1139,0
-4.6039,18.1398,0.8871,2.2292,2.1769,0
-4.6149,18.2033,0.8809,2.2304,1.3466,0
-4.6708,18.2517,0.9034,2.2235,1.5194,0
-4.7138,18.2868,0.8788,2.2218,1.9718,0
